,Cyclone_Inlet_Gas_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_Inlet_Gas_Temp,Cyclone_Gas_Outlet_Temp,Cyclone_Gas_Outlet_Temp,Cyclone_Gas_Outlet_Temp,Cyclone_Gas_Outlet_Temp,Cyclone_Gas_Outlet_Temp,Cyclone_Gas_Outlet_Temp,Cyclone_Outlet_Gas_draft,Cyclone_Outlet_Gas_draft,Cyclone_Outlet_Gas_draft,Cyclone_Outlet_Gas_draft,Cyclone_Outlet_Gas_draft,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft,Cyclone_cone_draft,Cyclone_cone_draft,Cyclone_cone_draft,Cyclone_cone_draft,Cyclone_cone_draft,Cyclone_Inlet_Draft,Cyclone_Inlet_Draft,Cyclone_Inlet_Draft,Cyclone_Inlet_Draft,Cyclone_Inlet_Draft,Cyclone_Inlet_Draft,Cyclone_Material_Temp,Cyclone_Material_Temp,Cyclone_Material_Temp,Cyclone_Material_Temp,Cyclone_Material_Temp,Cyclone_Material_Temp
,mean,std,min,max,median,count,mean,std,min,max,median,count,mean,std,min,max,median,count,mean,std,min,max,median,count,mean,std,min,max,median,count,mean,std,min,max,median,count
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,850.5542366214057,94.98962093617234,0.0,1157.63,851.8499999999999,2504,825.809535942492,86.88770339729739,208.42,1375.0,833.035,2504,-109.15399940095848,93.70463246673157,-456.66,39.17,-98.27,2504,-110.84470746805113,84.47272023340102,-459.31,488.86,-105.905,2504,-86.30079073482428,76.94804881473003,-396.37,41.64,-77.775,2504,886.5203957667732,104.9869385922683,-96.3,1195.01,893.025,2504
1,389.61681626476565,200.29868902382935,26.72,895.72,379.69,19311,382.67559813347606,198.5582915176383,87.15,863.4566666666667,360.52,19311,3.630687748491073,13.589605527110683,-97.39,40.27,6.9,19311,-6.752637615866605,11.097468824718307,-91.47,66.39,-3.41,19311,3.1680108631234933,13.02723350002337,-73.92,40.68,5.57,19311,331.3543022974816,294.7665712082025,-185.0,1374.98,224.16,19311
2,885.9153901214687,23.344426769695932,0.0,1085.74,884.39,192320,874.6199997514765,46.82558345996133,208.08,1375.0,880.58,192320,-223.0320624271804,35.11147014183521,-401.52,18.3,-224.65,192320,-205.10236933251426,34.252524120088275,-352.72,5.93,-206.95,192320,-176.70362156631066,26.659654160461557,-345.53,23.3,-175.12,192320,915.0795092765699,69.31314843209422,-185.0,1297.69,918.12,192320
3,905.6378110096647,30.97350511414014,99.99,1135.63,902.84,101693,886.0741972714874,51.638942292650704,207.89,1375.0,891.86,101693,-234.72232567142933,39.15859180797095,-414.06,2.79,-239.81,101693,-216.20477324697075,37.32288472985307,-404.83,5.16,-219.14,101693,-186.03908565027876,30.37535747788133,-348.66,3.66,-186.84,101693,938.4511619114728,68.92106607709218,-185.0,1375.0,941.54,101693
