timestamp,true,persistence_pred,rf_pred
2020-07-28 20:35:00,887.51,883.47,891.4489518587251
2020-07-28 20:40:00,881.94,887.51,878.3281061201608
2020-07-28 20:45:00,884.55,881.94,880.3650779557228
2020-07-28 20:50:00,888.85,884.55,893.7627296578856
2020-07-28 20:55:00,871.18,888.85,872.3147050954551
2020-07-28 21:00:00,876.41,871.18,879.5716891289856
2020-07-28 21:05:00,881.19,876.41,885.8946174273253
2020-07-28 21:10:00,884.44,881.19,881.2827212146786
2020-07-28 21:15:00,881.36,884.44,886.2759906855737
2020-07-28 21:20:00,890.47,881.36,888.315639037722
2020-07-28 21:25:00,875.08,890.47,872.8238041384061
2020-07-28 21:30:00,876.61,875.08,873.2348709170834
2020-07-28 21:35:00,889.35,876.61,891.0726903736104
2020-07-28 21:40:00,883.52,889.35,877.1850928292077
2020-07-28 21:45:00,876.25,883.52,870.4954739614639
2020-07-28 21:50:00,894.52,876.25,893.5647077139733
2020-07-28 21:55:00,889.9,894.52,890.5372343318575
2020-07-28 22:00:00,875.57,889.9,875.5066108944708
2020-07-28 22:05:00,887.52,875.57,884.0437998725266
2020-07-28 22:10:00,885.47,887.52,886.5136815675588
2020-07-28 22:15:00,880.02,885.47,878.2965096745963
2020-07-28 22:20:00,881.0,880.02,880.1942474489082
2020-07-28 22:25:00,880.08,881.0,878.8638059773548
2020-07-28 22:30:00,888.37,880.08,887.4276591172959
2020-07-28 22:35:00,886.24,888.37,887.4992173723172
2020-07-28 22:40:00,875.74,886.24,872.2802199370358
2020-07-28 22:45:00,886.7,875.74,884.9513717345294
2020-07-28 22:50:00,890.5,886.7,892.3560617733056
2020-07-28 22:55:00,876.55,890.5,874.1744988470809
2020-07-28 23:00:00,883.78,876.55,886.3630904658905
2020-07-28 23:05:00,892.44,883.78,893.7910360476549
2020-07-28 23:10:00,878.15,892.44,880.93056972094
2020-07-28 23:15:00,888.59,878.15,888.4469455114576
2020-07-28 23:20:00,893.84,888.59,896.2086101574212
2020-07-28 23:25:00,876.14,893.84,883.7381866274605
2020-07-28 23:30:00,887.86,876.14,887.9090820053991
2020-07-28 23:35:00,889.33,887.86,886.618589989606
2020-07-28 23:40:00,876.93,889.33,875.4967652216515
2020-07-28 23:45:00,894.63,876.93,897.3595758195423
2020-07-28 23:50:00,878.88,894.63,883.9522852820363
2020-07-28 23:55:00,886.26,878.88,886.9027171184878
2020-07-29 00:00:00,886.11,886.26,886.4181541660028
2020-07-29 00:05:00,877.59,886.11,875.0242303937252
2020-07-29 00:10:00,891.29,877.59,893.8178850139956
2020-07-29 00:15:00,881.9,891.29,876.8442876551172
2020-07-29 00:20:00,878.76,881.9,878.4975017855976
2020-07-29 00:25:00,895.3,878.76,896.1737412789028
2020-07-29 00:30:00,881.07,895.3,884.3771403004192
